Population,Treatment,DamID,SlideID,PlacentaID,Image_Replicate,Points_No_Category,Points_MaternalBloodVolume,Points_FetalBloodVolume,Points_Tissue,Points_NucleiClump,TotalPoints,Pct_MaternalBloodVolume,Pct_FetalBloodVolume,Pct_Tissue,Pct_NucleiClump,Pct_TissNuc,Sum,Counter,Concat
1Lowlander,1Normoxic,BW41,C1,P3,b,2,117,107,155,19,400,29.25,26.75,38.75,4.75,43.5,99.5,KJ,BW41C1P3b
1Lowlander,2Hypoxic,BW28,C1,P1,a,2,85,108,173,32,400,21.25,27,43.25,8,51.25,99.5,KJ,BW28C1P1a
1Lowlander,2Hypoxic,BW32,A1,P2,a,2,46,108,217,27,400,11.5,27,54.25,6.75,61,99.5,KJ,BW32A1P2a
1Lowlander,1Normoxic,BW45,A1,P1,a,2,85,110,177,26,400,21.25,27.5,44.25,6.5,50.75,99.5,KJ,BW45A1P1a
1Lowlander,2Hypoxic,BW28,C1,P2,b,2,87,111,174,26,400,21.75,27.75,43.5,6.5,50,99.5,KJ,BW28C1P2b
1Lowlander,1Normoxic,BW39,A2,P3,a,2,57,111,203,27,400,14.25,27.75,50.75,6.75,57.5,99.5,KJ,BW39A2P3a
1Lowlander,1Normoxic,BW43,B2,P1,a,2,85,111,180,22,400,21.25,27.75,45,5.5,50.5,99.5,KJ,BW43B2P1a
1Lowlander,2Hypoxic,BW21,B1,P3,b,2,111,112,135,40,400,27.75,28,33.75,10,43.75,99.5,KK,BW21B1P3b
1Lowlander,2Hypoxic,BW28,C1,P1,c,2,96,112,157,33,400,24,28,39.25,8.25,47.5,99.5,KJ,BW28C1P1c
1Lowlander,2Hypoxic,BW34,B1,P3,b,2,75,112,187,24,400,18.75,28,46.75,6,52.75,99.5,KJ,BW34B1P3b
1Lowlander,1Normoxic,BW39,A2,P2,a,2,45,112,223,18,400,11.25,28,55.75,4.5,60.25,99.5,KJ,BW39A2P2a
1Lowlander,1Normoxic,BW39,A2,P2,c,2,50,112,213,23,400,12.5,28,53.25,5.75,59,99.5,KJ,BW39A2P2c
1Lowlander,1Normoxic,BW44,A1,P1,a,2,97,112,169,20,400,24.25,28,42.25,5,47.25,99.5,KJ,BW44A1P1a
1Lowlander,1Normoxic,BW45,A1,P3,c,2,101,113,161,23,400,25.25,28.25,40.25,5.75,46,99.5,KJ,BW45A1P3c
1Lowlander,1Normoxic,BW39,A2,P1,c,2,47,114,216,21,400,11.75,28.5,54,5.25,59.25,99.5,KJ,BW39A2P1c
1Lowlander,1Normoxic,BW26,C1,P1,a,2,79,115,186,18,400,19.75,28.75,46.5,4.5,51,99.5,KK,BW26C1P1a
1Lowlander,2Hypoxic,BW32,A1,P2,b,2,60,116,194,28,400,15,29,48.5,7,55.5,99.5,KJ,BW32A1P2b
1Lowlander,1Normoxic,BW43,B2,P1,b,2,98,116,162,22,400,24.5,29,40.5,5.5,46,99.5,KJ,BW43B2P1b
1Lowlander,1Normoxic,BW44,A1,P2,b,2,95,116,167,20,400,23.75,29,41.75,5,46.75,99.5,KJ,BW44A1P2b
1Lowlander,2Hypoxic,BW28,C1,P3,a,2,95,117,174,12,400,23.75,29.25,43.5,3,46.5,99.5,KJ,BW28C1P3a
1Lowlander,1Normoxic,BW41,C1,P3,c,2,103,117,158,20,400,25.75,29.25,39.5,5,44.5,99.5,KJ,BW41C1P3c
1Lowlander,2Hypoxic,BW21,B1,P2,a,2,128,119,130,21,400,32,29.75,32.5,5.25,37.75,99.5,KK,BW21B1P2a
1Lowlander,2Hypoxic,BW32,B1,P2,a,2,81,119,178,20,400,20.25,29.75,44.5,5,49.5,99.5,KJ,BW32B1P2a
1Lowlander,2Hypoxic,BW32,B1,P2,c,2,62,119,188,29,400,15.5,29.75,47,7.25,54.25,99.5,KJ,BW32B1P2c
1Lowlander,2Hypoxic,BW32,A1,P3,c,2,59,120,185,34,400,14.75,30,46.25,8.5,54.75,99.5,KJ,BW32A1P3c
1Lowlander,1Normoxic,BW45,A1,P1,c,2,101,120,129,48,400,25.25,30,32.25,12,44.25,99.5,KJ,BW45A1P1c
1Lowlander,2Hypoxic,BW32,B1,P1,c,2,61,121,184,32,400,15.25,30.25,46,8,54,99.5,KJ,BW32B1P1c
1Lowlander,2Hypoxic,BW32,B1,P2,b,2,65,121,187,25,400,16.25,30.25,46.75,6.25,53,99.5,KJ,BW32B1P2b
1Lowlander,2Hypoxic,BW34,B1,P1,b,2,87,121,168,22,400,21.75,30.25,42,5.5,47.5,99.5,KJ,BW34B1P1b
1Lowlander,1Normoxic,BW39,A2,P3,c,2,48,122,201,27,400,12,30.5,50.25,6.75,57,99.5,KJ,BW39A2P3c
1Lowlander,1Normoxic,BW45,A1,P1,b,2,61,122,189,26,400,15.25,30.5,47.25,6.5,53.75,99.5,KJ,BW45A1P1b
1Lowlander,1Normoxic,BW43,B2,P2,a,2,71,123,175,29,400,17.75,30.75,43.75,7.25,51,99.5,KJ,BW43B2P2a
1Lowlander,1Normoxic,BW44,A1,P3,a,2,99,123,161,15,400,24.75,30.75,40.25,3.75,44,99.5,KJ,BW44A1P3a
1Lowlander,2Hypoxic,BW32,A1,P1,b,2,90,124,154,30,400,22.5,31,38.5,7.5,46,99.5,KJ,BW32A1P1b
1Lowlander,2Hypoxic,BW32,B1,P3,a,2,73,124,183,18,400,18.25,31,45.75,4.5,50.25,99.5,KJ,BW32B1P3a
1Lowlander,2Hypoxic,BW28,C1,P1,b,2,81,128,161,28,400,20.25,32,40.25,7,47.25,99.5,KJ,BW28C1P1b
1Lowlander,2Hypoxic,BW28,C1,P3,b,2,81,129,160,28,400,20.25,32.25,40,7,47,99.5,KJ,BW28C1P3b
1Lowlander,1Normoxic,BW45,A1,P2,b,2,107,129,136,26,400,26.75,32.25,34,6.5,40.5,99.5,KJ,BW45A1P2b
1Lowlander,1Normoxic,BW44,A1,P1,c,2,84,130,163,21,400,21,32.5,40.75,5.25,46,99.5,KJ,BW44A1P1c
1Lowlander,1Normoxic,BW45,A1,P2,a,2,81,130,159,28,400,20.25,32.5,39.75,7,46.75,99.5,KJ,BW45A1P2a
1Lowlander,1Normoxic,BW41,C1,P2,b,2,94,131,141,32,400,23.5,32.75,35.25,8,43.25,99.5,KJ,BW41C1P2b
1Lowlander,1Normoxic,BW39,A2,P2,b,2,40,132,193,33,400,10,33,48.25,8.25,56.5,99.5,KJ,BW39A2P2b
1Lowlander,1Normoxic,BW39,A2,P3,b,2,54,132,183,29,400,13.5,33,45.75,7.25,53,99.5,KJ,BW39A2P3b
1Lowlander,1Normoxic,BW41,C1,P2,c,2,109,132,140,17,400,27.25,33,35,4.25,39.25,99.5,KJ,BW41C1P2c
1Lowlander,1Normoxic,BW43,B2,P3,b,2,72,132,182,12,400,18,33,45.5,3,48.5,99.5,KJ,BW43B2P3b
1Lowlander,2Hypoxic,BW28,C1,P2,a,2,82,133,157,26,400,20.5,33.25,39.25,6.5,45.75,99.5,KJ,BW28C1P2a
1Lowlander,2Hypoxic,BW32,B1,P1,a,2,57,134,178,29,400,14.25,33.5,44.5,7.25,51.75,99.5,KJ,BW32B1P1a
1Lowlander,2Hypoxic,BW34,B1,P1,c,2,65,135,182,16,400,16.25,33.75,45.5,4,49.5,99.5,KJ,BW34B1P1c
1Lowlander,1Normoxic,BW44,A1,P1,b,2,83,135,164,16,400,20.75,33.75,41,4,45,99.5,KJ,BW44A1P1b
1Lowlander,1Normoxic,BW43,B2,P3,a,2,55,136,194,13,400,13.75,34,48.5,3.25,51.75,99.5,KJ,BW43B2P3a
1Lowlander,1Normoxic,BW45,A1,P2,c,2,82,136,150,30,400,20.5,34,37.5,7.5,45,99.5,KJ,BW45A1P2c
1Lowlander,1Normoxic,BW41,C1,P3,a,2,80,137,161,20,400,20,34.25,40.25,5,45.25,99.5,KJ,BW41C1P3a
1Lowlander,1Normoxic,BW43,B2,P3,c,2,86,139,152,21,400,21.5,34.75,38,5.25,43.25,99.5,KJ,BW43B2P3c
1Lowlander,2Hypoxic,BW32,A1,P3,a,2,61,140,168,29,400,15.25,35,42,7.25,49.25,99.5,KJ,BW32A1P3a
1Lowlander,2Hypoxic,BW32,B1,P3,c,2,46,140,182,30,400,11.5,35,45.5,7.5,53,99.5,KJ,BW32B1P3c
1Lowlander,2Hypoxic,BW32,A1,P2,c,2,55,142,177,24,400,13.75,35.5,44.25,6,50.25,99.5,KJ,BW32A1P2c
1Lowlander,2Hypoxic,BW32,A1,P1,c,2,30,143,198,27,400,7.5,35.75,49.5,6.75,56.25,99.5,KJ,BW32A1P1c
1Lowlander,1Normoxic,BW41,C1,P1,b,2,91,147,137,23,400,22.75,36.75,34.25,5.75,40,99.5,KJ,BW41C1P1b
1Lowlander,2Hypoxic,BW32,A1,P1,a,2,54,149,170,25,400,13.5,37.25,42.5,6.25,48.75,99.5,KJ,BW32A1P1a
1Lowlander,2Hypoxic,BW28,C1,P3,c,2,83,155,142,18,400,20.75,38.75,35.5,4.5,40,99.5,KJ,BW28C1P3c
1Lowlander,1Normoxic,BW43,B2,P1,c,2,65,156,161,16,400,16.25,39,40.25,4,44.25,99.5,KJ,BW43B2P1c
1Lowlander,2Hypoxic,BW32,B1,P1,b,2,48,157,166,27,400,12,39.25,41.5,6.75,48.25,99.5,KJ,BW32B1P1b
1Lowlander,2Hypoxic,BW32,A1,P3,b,2,47,161,161,29,400,11.75,40.25,40.25,7.25,47.5,99.5,KJ,BW32A1P3b
1Lowlander,1Normoxic,BW43,B2,P2,c,2,39,165,174,20,400,9.75,41.25,43.5,5,48.5,99.5,KJ,BW43B2P2c
2Highlander,1Normoxic,ME23,A1,P1,c,2,149,31,202,16,400,37.25,7.75,50.5,4,54.5,99.5,KK,ME23A1P1c
2Highlander,1Normoxic,ME15,C2,P2,b,2,122,33,226,17,400,30.5,8.25,56.5,4.25,60.75,99.5,KK,ME15C2P2b
2Highlander,2Hypoxic,ME24,B1,P1,c,2,205,33,148,12,400,51.25,8.25,37,3,40,99.5,KK,ME24B1P1c
2Highlander,1Normoxic,ME38,A1,P3,b,2,114,33,230,21,400,28.5,8.25,57.5,5.25,62.75,99.5,KK,ME38A1P3b
2Highlander,1Normoxic,ME23,A1,P1,a,2,153,34,187,24,400,38.25,8.5,46.75,6,52.75,99.5,KK,ME23A1P1a
2Highlander,1Normoxic,ME38,A1,P2,c,2,99,34,244,21,400,24.75,8.5,61,5.25,66.25,99.5,KK,ME38A1P2c
2Highlander,1Normoxic,ME15,C2,P1,a,2,159,35,182,22,400,39.75,8.75,45.5,5.5,51,99.5,KK,ME15C2P1a
2Highlander,1Normoxic,ME15,C2,P3,c,2,111,35,221,31,400,27.75,8.75,55.25,7.75,63,99.5,KK,ME15C2P3c
2Highlander,2Hypoxic,ME10,C2,P1,b,2,108,36,231,23,400,27,9,57.75,5.75,63.5,99.5,KK,ME10C2P1b
2Highlander,2Hypoxic,ME10,C2,P3,a,2,128,36,214,20,400,32,9,53.5,5,58.5,99.5,KK,ME10C2P3a
2Highlander,1Normoxic,ME23,A1,P2,b,2,126,37,221,14,400,31.5,9.25,55.25,3.5,58.75,99.5,KK,ME23A1P2b
2Highlander,1Normoxic,ME23,A1,P3,c,2,111,37,233,17,400,27.75,9.25,58.25,4.25,62.5,99.5,KK,ME23A1P3c
2Highlander,1Normoxic,ME15,C2,P3,b,2,170,38,169,21,400,42.5,9.5,42.25,5.25,47.5,99.5,KK,ME15C2P3b
2Highlander,2Hypoxic,ME24,C1,P3,a,2,121,38,219,20,400,30.25,9.5,54.75,5,59.75,99.5,KK,ME24C1P3a
2Highlander,2Hypoxic,ME10,C2,P1,a,2,98,39,231,30,400,24.5,9.75,57.75,7.5,65.25,99.5,KK,ME10C2P1a
2Highlander,2Hypoxic,ME10,C2,P3,c,2,131,42,211,14,400,32.75,10.5,52.75,3.5,56.25,99.5,KK,ME10C2P3c
2Highlander,1Normoxic,ME23,A1,P3,b,2,117,43,227,11,400,29.25,10.75,56.75,2.75,59.5,99.5,KK,ME23A1P3b
2Highlander,1Normoxic,ME15,C2,P2,c,2,151,44,188,15,400,37.75,11,47,3.75,50.75,99.5,KK,ME15C2P2c
2Highlander,1Normoxic,ME23,A1,P1,b,2,101,44,232,21,400,25.25,11,58,5.25,63.25,99.5,KK,ME23A1P1b
2Highlander,1Normoxic,ME23,A1,P3,a,2,117,44,217,20,400,29.25,11,54.25,5,59.25,99.5,KK,ME23A1P3a
2Highlander,2Hypoxic,ME24,C1,P1,c,2,133,45,212,8,400,33.25,11.25,53,2,55,99.5,KK,ME24C1P1c
2Highlander,2Hypoxic,ME24,C1,P3,b,2,187,45,154,12,400,46.75,11.25,38.5,3,41.5,99.5,KK,ME24C1P3b
2Highlander,1Normoxic,ME15,C2,P2,a,2,137,46,190,25,400,34.25,11.5,47.5,6.25,53.75,99.5,KK,ME15C2P2a
2Highlander,1Normoxic,ME15,C2,P3,a,2,124,46,217,11,400,31,11.5,54.25,2.75,57,99.5,KK,ME15C2P3a
2Highlander,1Normoxic,ME202,C1,P1,c,2,169,47,146,36,400,42.25,11.75,36.5,9,45.5,99.5,KJ,ME202C1P1c
2Highlander,2Hypoxic,ME22,C2,P1,c,2,160,47,174,17,400,40,11.75,43.5,4.25,47.75,99.5,KK,ME22C2P1c
2Highlander,1Normoxic,ME23,A1,P2,c,2,104,47,234,13,400,26,11.75,58.5,3.25,61.75,99.5,KK,ME23A1P2c
2Highlander,2Hypoxic,ME24,C1,P2,b,2,133,47,203,15,400,33.25,11.75,50.75,3.75,54.5,99.5,KK,ME24C1P2b
2Highlander,1Normoxic,ME38,A1,P1,c,2,90,47,251,10,400,22.5,11.75,62.75,2.5,65.25,99.5,KK,ME38A1P1c
2Highlander,1Normoxic,ME39,B1,P2,a,2,109,48,222,19,400,27.25,12,55.5,4.75,60.25,99.5,KK,ME39B1P2a
2Highlander,2Hypoxic,ME24,C1,P1,b,2,127,49,205,17,400,31.75,12.25,51.25,4.25,55.5,99.5,KK,ME24C1P1b
2Highlander,2Hypoxic,ME24,C1,P2,a,2,145,49,190,14,400,36.25,12.25,47.5,3.5,51,99.5,KK,ME24C1P2a
2Highlander,2Hypoxic,ME45,C1,P2,c,2,159,49,166,24,400,39.75,12.25,41.5,6,47.5,99.5,KK,ME45C1P2c
2Highlander,2Hypoxic,ME22,C2,P2,c,2,150,50,175,23,400,37.5,12.5,43.75,5.75,49.5,99.5,KK,ME22C2P2c
2Highlander,1Normoxic,ME30,C1,P3,b,2,121,50,213,14,400,30.25,12.5,53.25,3.5,56.75,99.5,KK,ME30C1P3b
